Country,Date,Δlog(NEER),Δlog(EUI),Δlog(Forign prices),Δlog(output/GDP),Δlog(CPI_all_items)
Canada,2021-Q2,0.0299,0.418806,0.0339,0.0000,0.0056756
Canada,2021-Q3,-0.0216,0.174052,0.0213,0.0000,0.0110403
Canada,2021-Q4,0.0082,-0.082638,0.0309,0.0000,0.0166528
Canada,2022-Q1,-0.0040,0.289612,-0.0024,0.0230,0.0390334
Canada,2022-Q2,0.0083,0.103643,0.0153,0.0000,0.0251345
Dominican Republic,2010-Q2,0.0025,0.084450,0.0156,0.0000,0.0130431
Dominican Republic,2010-Q3,-0.0137,-0.087448,0.0000,0.0000,0.0084939
Dominican Republic,2010-Q4,-0.0254,-0.276735,0.0301,0.0000,0.0122465
Dominican Republic,2011-Q1,-0.0154,-0.106390,0.0271,0.0187,0.0040238
Dominican Republic,2011-Q2,-0.0231,0.052558,0.0142,0.0000,0.0209586
Dominican Republic,2011-Q3,0.0003,0.359405,0.0022,0.0000,0.0307238
Dominican Republic,2011-Q4,0.0110,-0.039889,-0.0116,0.0000,0.0055692
Dominican Republic,2012-Q1,-0.0123,-0.042405,-0.0035,0.0149,0.0148693
Dominican Republic,2012-Q2,0.0074,0.681485,-0.0010,0.0000,-0.0061687
Dominican Republic,2012-Q3,0.0021,-0.350280,-0.0176,0.0000,0.0139976
Dominican Republic,2012-Q4,-0.0260,0.401203,-0.0013,0.0000,0.0278260
Dominican Republic,2013-Q1,-0.0203,-0.204057,0.0023,0.0360,0.0173618
Dominican Republic,2013-Q2,-0.0023,-0.805958,-0.0110,0.0000,-0.0079978
Dominican Republic,2013-Q3,-0.0219,0.113033,-0.0075,0.0000,0.0128508
Dominican Republic,2013-Q4,-0.0081,0.157138,0.0020,0.0000,0.0057590
Dominican Republic,2014-Q1,-0.0054,0.054972,-0.0033,0.0568,0.0056140
Dominican Republic,2014-Q2,-0.0069,0.027713,-0.0066,0.0000,0.0143955
Dominican Republic,2014-Q3,0.0007,-0.346007,-0.0050,0.0000,0.0125032
Dominican Republic,2014-Q4,0.0143,0.193912,-0.0134,0.0000,0.0270432
Dominican Republic,2015-Q1,0.0200,0.547855,-0.0218,0.0560,0.0167532
Dominican Republic,2015-Q2,0.0016,-0.162570,-0.0076,0.0000,-0.0138929
Dominican Republic,2015-Q3,0.0118,-0.175445,-0.0165,0.0000,0.0352582
Dominican Republic,2015-Q4,0.0049,-0.139024,-0.0146,0.0000,0.0433900
Dominican Republic,2016-Q1,0.0067,0.209157,0.0407,0.0539,-0.0083463
Dominican Republic,2016-Q2,-0.0168,-0.209427,0.0120,0.0000,-0.0235452
Dominican Republic,2016-Q3,0.0003,0.488773,0.0054,0.0000,0.0045325
Dominican Republic,2016-Q4,0.0045,0.059458,0.0260,0.0000,-0.0051637
Dominican Republic,2017-Q1,-0.0086,-0.068511,0.0282,0.0277,0.0211891
Dominican Republic,2017-Q2,-0.0195,-0.593984,-0.0029,0.0000,0.0019513
Dominican Republic,2017-Q3,-0.0230,-0.011450,0.0086,0.0000,0.0066650
Dominican Republic,2017-Q4,-0.0067,0.553525,0.0223,0.0000,0.0174949
Dominican Republic,2018-Q1,-0.0324,-0.734597,0.0081,0.0578,0.0218710
Dominican Republic,2018-Q2,0.0038,0.632974,0.0006,0.0000,0.0036930
Dominican Republic,2018-Q3,0.0161,0.112620,0.0092,0.0000,-0.0125220
Dominican Republic,2018-Q4,0.0031,-0.082289,0.0049,0.0000,0.0006892
Dominican Republic,2019-Q1,-0.0091,0.324729,-0.0129,0.0374,0.0115040
Dominican Republic,2019-Q2,0.0176,0.101310,0.0040,0.0000,0.0165382
Dominican Republic,2019-Q3,0.0250,-0.210571,-0.0037,0.0000,0.0242153
Dominican Republic,2019-Q4,-0.0220,0.474460,0.0006,0.0000,0.0215043
Dominican Republic,2020-Q1,0.0024,0.054792,-0.0071,-0.0930,0.0056997
Dominican Republic,2020-Q2,-0.0141,-0.655385,-0.0229,0.0000,-0.0116984
Dominican Republic,2020-Q3,-0.0563,-0.050213,0.0073,0.0000,0.0449758
Dominican Republic,2020-Q4,-0.0138,-0.208630,0.0091,0.0000,0.0382551
Dominican Republic,2021-Q1,0.0125,-0.629870,-0.0327,0.1207,0.0142901
Dominican Republic,2021-Q2,0.0217,0.418806,0.0339,0.0000,0.0142046
Dominican Republic,2021-Q3,0.0151,0.174052,0.0213,0.0000,0.0304696
Dominican Republic,2021-Q4,-0.0620,-0.082638,0.0309,0.0000,0.0235975
Dominican Republic,2022-Q1,0.0112,0.289612,-0.0024,0.0415,0.0306969
Dominican Republic,2022-Q2,0.0437,0.103643,0.0153,0.0000,0.0359141
Germany,2010-Q2,-0.0403,0.084450,0.0156,0.0000,0.0056639
Germany,2010-Q3,-0.0017,-0.087448,0.0000,0.0000,-0.0073358
Germany,2010-Q4,0.0138,-0.276735,0.0301,0.0000,0.0073358
Germany,2011-Q1,-0.0037,-0.106390,0.0271,0.0554,0.0181075
Germany,2011-Q2,0.0162,0.052558,0.0142,0.0000,0.0068281
Germany,2011-Q3,-0.0073,0.359405,0.0022,0.0000,-0.0025957
Germany,2011-Q4,-0.0050,-0.039889,-0.0116,0.0000,0.0080893
Germany,2012-Q1,-0.0207,-0.042405,-0.0035,0.0027,0.0229383
Germany,2012-Q2,-0.0053,0.681485,-0.0010,0.0000,0.0034586
Germany,2012-Q3,-0.0141,-0.350280,-0.0176,0.0000,-0.0044039
Germany,2012-Q4,0.0162,0.401203,-0.0013,0.0000,0.0147084
Germany,2013-Q1,0.0148,-0.204057,0.0023,0.0012,0.0190776
Germany,2013-Q2,0.0010,-0.805958,-0.0110,0.0000,0.0133214
Germany,2013-Q3,0.0148,0.113033,-0.0075,0.0000,-0.0030120
Germany,2013-Q4,0.0121,0.157138,0.0020,0.0000,0.0024104
Germany,2014-Q1,0.0104,0.054972,-0.0033,0.0174,0.0146381
Germany,2014-Q2,-0.0046,0.027713,-0.0066,0.0000,-0.0077405
Germany,2014-Q3,-0.0136,-0.346007,-0.0050,0.0000,-0.0035928
Germany,2014-Q4,-0.0129,0.193912,-0.0134,0.0000,-0.0015008
Germany,2015-Q1,-0.0391,0.547855,-0.0218,0.0078,0.0101459
Germany,2015-Q2,-0.0134,-0.162570,-0.0076,0.0000,0.0069803
Germany,2015-Q3,0.0222,-0.175445,-0.0165,0.0000,-0.0116610
Germany,2015-Q4,0.0014,-0.139024,-0.0146,0.0000,0.0050143
Germany,2016-Q1,0.0152,0.209157,0.0407,0.0139,0.0063154
Germany,2016-Q2,0.0033,-0.209427,0.0120,0.0000,0.0019861
Germany,2016-Q3,-0.0025,0.488773,0.0054,0.0000,-0.0036442
Germany,2016-Q4,-0.0037,0.059458,0.0260,0.0000,0.0095790
Germany,2017-Q1,-0.0045,-0.068511,0.0282,0.0239,0.0246766
Germany,2017-Q2,0.0092,-0.593984,-0.0029,0.0000,-0.0106402
Germany,2017-Q3,0.0263,-0.011450,0.0086,0.0000,0.0025899
Germany,2017-Q4,0.0037,0.553525,0.0223,0.0000,0.0134877
Germany,2018-Q1,0.0080,-0.734597,0.0081,0.0083,0.0136229
Germany,2018-Q2,-0.0036,0.632974,0.0006,0.0000,0.0018862
Germany,2018-Q3,0.0110,0.112620,0.0092,0.0000,-0.0037760
Germany,2018-Q4,-0.0051,-0.082289,0.0049,0.0000,0.0028333
Germany,2019-Q1,-0.0100,0.324729,-0.0129,0.0075,0.0072044
Germany,2019-Q2,0.0005,0.101310,0.0040,0.0000,0.0015593
Germany,2019-Q3,-0.0002,-0.210571,-0.0037,0.0000,0.0055936
Germany,2019-Q4,-0.0037,0.474460,0.0006,0.0000,0.0003098
Germany,2020-Q1,0.0014,0.054792,-0.0071,-0.0430,0.0230841
Germany,2020-Q2,0.0184,-0.655385,-0.0229,0.0000,0.0121933
Germany,2020-Q3,0.0205,-0.050213,0.0073,0.0000,-0.0305977
Germany,2020-Q4,0.0016,-0.208630,0.0091,0.0000,0.0030349
Germany,2021-Q1,-0.0036,-0.629870,-0.0327,0.0379,0.0311593
Germany,2021-Q2,0.0016,0.418806,0.0339,0.0000,0.0107126
Germany,2021-Q3,-0.0081,0.174052,0.0213,0.0000,-0.0012924
Germany,2021-Q4,-0.0077,-0.082638,0.0309,0.0000,0.0077295
Germany,2022-Q1,-0.0032,0.289612,-0.0024,0.0182,0.0343720
Germany,2022-Q2,-0.0117,0.103643,0.0153,0.0000,0.0554693
Israel,2010-Q2,0.0058,0.084450,0.0156,0.0000,0.0069415
Israel,2010-Q3,-0.0083,-0.087448,0.0000,0.0000,0.0175706
Israel,2010-Q4,0.0199,-0.276735,0.0301,0.0000,0.0309519
Israel,2011-Q1,0.0000,-0.106390,0.0271,0.0352,0.0041102
Israel,2011-Q2,0.0221,0.052558,0.0142,0.0000,0.0061337
Israel,2011-Q3,-0.0228,0.359405,0.0022,0.0000,-0.0135442
Israel,2011-Q4,-0.0187,-0.039889,-0.0116,0.0000,-0.0095496
Israel,2012-Q1,-0.0106,-0.042405,-0.0035,0.0057,0.0124380
Israel,2012-Q2,-0.0001,0.681485,-0.0010,0.0000,-0.0057851
Israel,2012-Q3,-0.0354,-0.350280,-0.0176,0.0000,0.0119466
Israel,2012-Q4,0.0251,0.401203,-0.0013,0.0000,0.0146344
Israel,2013-Q1,0.0354,-0.204057,0.0023,0.0214,0.0176005
Israel,2013-Q2,0.0315,-0.805958,-0.0110,0.0000,0.0133913
Israel,2013-Q3,0.0190,0.113033,-0.0075,0.0000,0.0108950
Israel,2013-Q4,0.0061,0.157138,0.0020,0.0000,0.0077101
Israel,2014-Q1,0.0137,0.054972,-0.0033,0.0179,-0.0143108
Israel,2014-Q2,0.0028,0.027713,-0.0066,0.0000,-0.0133335
Israel,2014-Q3,-0.0018,-0.346007,-0.0050,0.0000,-0.0035594
Israel,2014-Q4,-0.0535,0.193912,-0.0134,0.0000,-0.0087545
Israel,2015-Q1,0.0133,0.547855,-0.0218,0.0023,-0.0080257
Israel,2015-Q2,0.0246,-0.162570,-0.0076,0.0000,0.0195498
Israel,2015-Q3,0.0243,-0.175445,-0.0165,0.0000,0.0035496
Israel,2015-Q4,0.0059,-0.139024,-0.0146,0.0000,0.0148498
Israel,2016-Q1,0.0013,0.209157,0.0407,0.0240,-0.0255366
Israel,2016-Q2,0.0069,-0.209427,0.0120,0.0000,-0.0099981
Israel,2016-Q3,0.0084,0.488773,0.0054,0.0000,0.0072087
Israel,2016-Q4,0.0183,0.059458,0.0260,0.0000,-0.0035978
Israel,2017-Q1,0.0347,-0.068511,0.0282,0.0232,0.0047943
Israel,2017-Q2,0.0206,-0.593984,-0.0029,0.0000,0.0027861
Israel,2017-Q3,-0.0174,-0.011450,0.0086,0.0000,-0.0091835
Israel,2017-Q4,0.0169,0.553525,0.0223,0.0000,-0.0016058
Israel,2018-Q1,-0.0112,-0.734597,0.0081,0.0200,-0.0088782
Israel,2018-Q2,-0.0070,0.632974,0.0006,0.0000,0.0184744
Israel,2018-Q3,0.0132,0.112620,0.0092,0.0000,0.0177484
Israel,2018-Q4,-0.0087,-0.082289,0.0049,0.0000,0.0015625
Israel,2019-Q1,0.0090,0.324729,-0.0129,0.0173,0.0097107
Israel,2019-Q2,0.0228,0.101310,0.0040,0.0000,0.0000000
Israel,2019-Q3,0.0270,-0.210571,-0.0037,0.0000,-0.0108823
Israel,2019-Q4,0.0103,0.474460,0.0006,0.0000,0.0073973
Israel,2020-Q1,0.0023,0.054792,-0.0071,-0.0381,-0.0050554
Israel,2020-Q2,0.0151,-0.655385,-0.0229,0.0000,0.0131683
Israel,2020-Q3,0.0023,-0.050213,0.0073,0.0000,-0.0127785
Israel,2020-Q4,0.0097,-0.208630,0.0091,0.0000,0.0046656
Israel,2021-Q1,0.0080,-0.629870,-0.0327,0.0729,-0.0081792
Israel,2021-Q2,0.0054,0.418806,0.0339,0.0000,0.0166767
Israel,2021-Q3,0.0189,0.174052,0.0213,0.0000,0.0088073
Israel,2021-Q4,0.0429,-0.082638,0.0309,0.0000,0.0038052
Israel,2022-Q1,0.0007,0.289612,-0.0024,0.0411,0.0158255
Israel,2022-Q2,-0.0140,0.103643,0.0153,0.0000,0.0174175
Italy,2010-Q2,-0.0346,0.084450,0.0156,0.0000,0.0002429
Italy,2010-Q3,-0.0007,-0.087448,0.0000,0.0000,0.0004857
Italy,2010-Q4,0.0126,-0.276735,0.0301,0.0000,0.0055684
Italy,2011-Q1,-0.0020,-0.106390,0.0271,0.0035,0.0133996
Italy,2011-Q2,0.0141,0.052558,0.0142,0.0000,0.0081553
Italy,2011-Q3,-0.0059,0.359405,0.0022,0.0000,-0.0045588
Italy,2011-Q4,-0.0048,-0.039889,-0.0116,0.0000,0.0110355
Italy,2012-Q1,-0.0172,-0.042405,-0.0035,-0.0345,0.0105957
Italy,2012-Q2,-0.0041,0.681485,-0.0010,0.0000,0.0066847
Italy,2012-Q3,-0.0112,-0.350280,-0.0176,0.0000,-0.0022232
Italy,2012-Q4,0.0137,0.401203,-0.0013,0.0000,0.0098086
Italy,2013-Q1,0.0120,-0.204057,0.0023,-0.0203,0.0115826
Italy,2013-Q2,0.0009,-0.805958,-0.0110,0.0000,0.0089853
Italy,2013-Q3,0.0142,0.113033,-0.0075,0.0000,-0.0055676
Italy,2013-Q4,0.0106,0.157138,0.0020,0.0000,-0.0003102
Italy,2014-Q1,0.0092,0.054972,-0.0033,-0.0002,0.0061862
Italy,2014-Q2,-0.0043,0.027713,-0.0066,0.0000,-0.0018519
Italy,2014-Q3,-0.0122,-0.346007,-0.0050,0.0000,-0.0083760
Italy,2014-Q4,-0.0105,0.193912,-0.0134,0.0000,0.0052819
Italy,2015-Q1,-0.0331,0.547855,-0.0218,0.0103,0.0123190
Italy,2015-Q2,-0.0108,-0.162570,-0.0076,0.0000,0.0009178
Italy,2015-Q3,0.0204,-0.175445,-0.0165,0.0000,-0.0076744
Italy,2015-Q4,0.0009,-0.139024,-0.0146,0.0000,0.0095077
Italy,2016-Q1,0.0131,0.209157,0.0407,0.0142,-0.0040030
Italy,2016-Q2,0.0036,-0.209427,0.0120,0.0000,0.0033289
Italy,2016-Q3,-0.0024,0.488773,0.0054,0.0000,-0.0033289
Italy,2016-Q4,-0.0012,0.059458,0.0260,0.0000,0.0063155
Italy,2017-Q1,-0.0017,-0.068511,0.0282,0.0178,0.0229293
Italy,2017-Q2,0.0087,-0.593984,-0.0029,0.0000,-0.0091087
Italy,2017-Q3,0.0244,-0.011450,0.0086,0.0000,-0.0098523
Italy,2017-Q4,0.0040,0.553525,0.0223,0.0000,0.0140917
Italy,2018-Q1,0.0094,-0.734597,0.0081,0.0058,0.0081025
Italy,2018-Q2,-0.0028,0.632974,0.0006,0.0000,0.0054724
Italy,2018-Q3,0.0098,0.112620,0.0092,0.0000,-0.0077345
Italy,2018-Q4,-0.0052,-0.082289,0.0049,0.0000,0.0019392
Italy,2019-Q1,-0.0086,0.324729,-0.0129,0.0113,0.0118762
Italy,2019-Q2,0.0004,0.101310,0.0040,0.0000,-0.0025559
Italy,2019-Q3,-0.0016,-0.210571,-0.0037,0.0000,-0.0035251
Italy,2019-Q4,-0.0030,0.474460,0.0006,0.0000,0.0019243
Italy,2020-Q1,0.0013,0.054792,-0.0071,-0.0880,0.0105180
Italy,2020-Q2,0.0152,-0.655385,-0.0229,0.0000,0.0166644
Italy,2020-Q3,0.0205,-0.050213,0.0073,0.0000,-0.0169815
Italy,2020-Q4,0.0033,-0.208630,0.0091,0.0000,0.0012678
Italy,2021-Q1,-0.0025,-0.629870,-0.0327,0.0907,0.0031626
Italy,2021-Q2,0.0032,0.418806,0.0339,0.0000,0.0066090
Italy,2021-Q3,-0.0076,0.174052,0.0213,0.0000,-0.0044011
Italy,2021-Q4,-0.0052,-0.082638,0.0309,0.0000,0.0128347
Italy,2022-Q1,-0.0005,0.289612,-0.0024,0.0491,0.0312334
Italy,2022-Q2,-0.0113,0.103643,0.0153,0.0000,0.0337910
Malaysia,2010-Q2,0.0520,0.084450,0.0156,0.0000,0.0053727
Malaysia,2010-Q3,0.0118,-0.087448,0.0000,0.0000,0.0086696
Malaysia,2010-Q4,-0.0158,-0.276735,0.0301,0.0000,0.0062883
Malaysia,2011-Q1,0.0137,-0.106390,0.0271,0.0341,0.0225095
Malaysia,2011-Q2,-0.0113,0.052558,0.0142,0.0000,0.0086720
Malaysia,2011-Q3,-0.0047,0.359405,0.0022,0.0000,0.0095481
Malaysia,2011-Q4,-0.0199,-0.039889,-0.0116,0.0000,0.0110255
Malaysia,2012-Q1,0.0295,-0.042405,-0.0035,0.0363,0.0053117
Malaysia,2012-Q2,-0.0068,0.681485,-0.0010,0.0000,0.0009344
Malaysia,2012-Q3,-0.0010,-0.350280,-0.0176,0.0000,0.0080621
Malaysia,2012-Q4,0.0119,0.401203,-0.0013,0.0000,0.0052364
Malaysia,2013-Q1,0.0014,-0.204057,0.0023,0.0288,0.0146389
Malaysia,2013-Q2,0.0129,-0.805958,-0.0110,0.0000,0.0063377
Malaysia,2013-Q3,-0.0443,0.113033,-0.0075,0.0000,0.0110697
Malaysia,2013-Q4,0.0047,0.157138,0.0020,0.0000,0.0074107
Malaysia,2014-Q1,-0.0201,0.054972,-0.0033,0.0412,0.0140765
Malaysia,2014-Q2,0.0135,0.027713,-0.0066,0.0000,0.0017457
Malaysia,2014-Q3,0.0201,-0.346007,-0.0050,0.0000,0.0083949
Malaysia,2014-Q4,-0.0216,0.193912,-0.0134,0.0000,0.0025910
Malaysia,2015-Q1,-0.0425,0.547855,-0.0218,0.0323,0.0128555
Malaysia,2015-Q2,-0.0071,-0.162570,-0.0076,0.0000,0.0090422
Malaysia,2015-Q3,-0.0769,-0.175445,-0.0165,0.0000,0.0159066
Malaysia,2015-Q4,-0.0449,-0.139024,-0.0146,0.0000,0.0057971
Malaysia,2016-Q1,0.0274,0.209157,0.0407,0.0259,0.0139404
Malaysia,2016-Q2,0.0277,-0.209427,0.0120,0.0000,0.0054142
Malaysia,2016-Q3,-0.0096,0.488773,0.0054,0.0000,0.0083345
Malaysia,2016-Q4,-0.0395,0.059458,0.0260,0.0000,0.0050741
Malaysia,2017-Q1,-0.0222,-0.068511,0.0282,0.0389,0.0216082
Malaysia,2017-Q2,0.0113,-0.593984,-0.0029,0.0000,0.0067550
Malaysia,2017-Q3,-0.0045,-0.011450,0.0086,0.0000,0.0092784
Malaysia,2017-Q4,0.0237,0.553525,0.0223,0.0000,0.0010256
Malaysia,2018-Q1,0.0305,-0.734597,0.0081,0.0303,0.0109597
Malaysia,2018-Q2,0.0081,0.632974,0.0006,0.0000,-0.0068676
Malaysia,2018-Q3,-0.0006,0.112620,0.0092,0.0000,-0.0033235
Malaysia,2018-Q4,-0.0087,-0.082289,0.0049,0.0000,0.0089229
Malaysia,2019-Q1,0.0061,0.324729,-0.0129,0.0272,0.0113566
Malaysia,2019-Q2,-0.0063,0.101310,0.0040,0.0000,-0.0017581
Malaysia,2019-Q3,0.0042,-0.210571,-0.0037,0.0000,0.0052651
Malaysia,2019-Q4,-0.0012,0.474460,0.0006,0.0000,0.0014993
Malaysia,2020-Q1,0.0010,0.054792,-0.0071,-0.0694,0.0047329
Malaysia,2020-Q2,-0.0177,-0.655385,-0.0229,0.0000,0.0017381
Malaysia,2020-Q3,0.0038,-0.050213,0.0073,0.0000,0.0054429
Malaysia,2020-Q4,-0.0014,-0.208630,0.0091,0.0000,0.0022181
Malaysia,2021-Q1,-0.0009,-0.629870,-0.0327,0.0211,0.0051565
Malaysia,2021-Q2,-0.0124,0.418806,0.0339,0.0000,0.0029347
Malaysia,2021-Q3,-0.0061,0.174052,0.0213,0.0000,0.0038996
Malaysia,2021-Q4,0.0109,-0.082638,0.0309,0.0000,0.0135300
Malaysia,2022-Q1,0.0036,0.289612,-0.0024,0.0745,0.0168951
Malaysia,2022-Q2,-0.0026,0.103643,0.0153,0.0000,0.0159179
New Zealand,2010-Q2,0.0137,0.084450,0.0156,0.0000,-0.0133225
New Zealand,2010-Q3,0.0055,-0.087448,0.0000,0.0000,0.0297298
New Zealand,2010-Q4,0.0124,-0.276735,0.0301,0.0000,0.0201376
New Zealand,2011-Q1,-0.0105,-0.106390,0.0271,0.0131,0.0126784
New Zealand,2011-Q2,0.0251,0.052558,0.0142,0.0000,0.0125196
New Zealand,2011-Q3,0.0433,0.359405,0.0022,0.0000,0.0192532
New Zealand,2011-Q4,-0.0403,-0.039889,-0.0116,0.0000,-0.0301993
New Zealand,2012-Q1,0.0472,-0.042405,-0.0035,0.0179,0.0015712
New Zealand,2012-Q2,-0.0155,0.681485,-0.0010,0.0000,0.0007845
New Zealand,2012-Q3,0.0201,-0.350280,-0.0176,0.0000,0.0124711
New Zealand,2012-Q4,0.0085,0.401203,-0.0013,0.0000,-0.0227194
New Zealand,2013-Q1,0.0191,-0.204057,0.0023,0.0179,0.0086785
New Zealand,2013-Q2,-0.0006,-0.805958,-0.0110,0.0000,0.0007853
New Zealand,2013-Q3,-0.0152,0.113033,-0.0075,0.0000,0.0209715
New Zealand,2013-Q4,0.0274,0.157138,0.0020,0.0000,-0.0194029
New Zealand,2014-Q1,0.0185,0.054972,-0.0033,0.0209,0.0023483
New Zealand,2014-Q2,0.0202,0.027713,-0.0066,0.0000,0.0101128
New Zealand,2014-Q3,-0.0101,-0.346007,-0.0050,0.0000,-0.0007742
New Zealand,2014-Q4,-0.0325,0.193912,-0.0134,0.0000,-0.0101208
New Zealand,2015-Q1,0.0105,0.547855,-0.0218,0.0159,0.0108950
New Zealand,2015-Q2,-0.0195,-0.162570,-0.0076,0.0000,-0.0031007
New Zealand,2015-Q3,-0.0915,-0.175445,-0.0165,0.0000,0.0069633
New Zealand,2015-Q4,0.0349,-0.139024,-0.0146,0.0000,-0.0289422
New Zealand,2016-Q1,0.0004,0.209157,0.0407,0.0146,0.0141846
New Zealand,2016-Q2,0.0199,-0.209427,0.0120,0.0000,0.0023446
New Zealand,2016-Q3,0.0456,0.488773,0.0054,0.0000,0.0031178
New Zealand,2016-Q4,0.0124,0.059458,0.0260,0.0000,-0.0180610
New Zealand,2017-Q1,0.0059,-0.068511,0.0282,0.0123,0.0273562
New Zealand,2017-Q2,-0.0248,-0.593984,-0.0029,0.0000,0.0076805
New Zealand,2017-Q3,0.0048,-0.011450,0.0086,0.0000,0.0121677
New Zealand,2017-Q4,-0.0447,0.553525,0.0223,0.0000,-0.0252529
New Zealand,2018-Q1,0.0126,-0.734597,0.0081,0.0162,0.0050531
New Zealand,2018-Q2,-0.0118,0.632974,0.0006,0.0000,0.0070317
New Zealand,2018-Q3,-0.0197,0.112620,0.0092,0.0000,0.0059880
New Zealand,2018-Q4,0.0162,-0.082289,0.0049,0.0000,-0.0190865
New Zealand,2019-Q1,0.0072,0.324729,-0.0129,0.0088,0.0130984
New Zealand,2019-Q2,-0.0179,0.101310,0.0040,0.0000,0.0029985
New Zealand,2019-Q3,-0.0118,-0.210571,-0.0037,0.0000,0.0148591
New Zealand,2019-Q4,-0.0074,0.474460,0.0006,0.0000,-0.0098815
New Zealand,2020-Q1,-0.0060,0.054792,-0.0071,-0.0234,0.0225832
New Zealand,2020-Q2,-0.0146,-0.655385,-0.0229,0.0000,0.0096619
New Zealand,2020-Q3,0.0325,-0.050213,0.0073,0.0000,0.0143201
New Zealand,2020-Q4,0.0132,-0.208630,0.0091,0.0000,-0.0259256
New Zealand,2021-Q1,0.0309,-0.629870,-0.0327,0.0420,0.0038835
New Zealand,2021-Q2,-0.0022,0.418806,0.0339,0.0000,0.0134747
New Zealand,2021-Q3,-0.0047,0.174052,0.0213,0.0000,0.0329132
New Zealand,2021-Q4,0.0044,-0.082638,0.0309,0.0000,-0.0130356
New Zealand,2022-Q1,-0.0201,0.289612,-0.0024,0.0349,0.0377056
New Zealand,2022-Q2,-0.0014,0.103643,0.0153,0.0000,0.0089848
Paraguay,2010-Q2,0.0018,0.084450,0.0156,0.0000,0.0078205
Paraguay,2010-Q3,-0.0176,-0.087448,0.0000,0.0000,-0.0034682
Paraguay,2010-Q4,-0.0369,-0.276735,0.0301,0.0000,0.0609311
Paraguay,2011-Q1,0.0673,-0.106390,0.0271,0.0287,0.0840787
Paraguay,2011-Q2,0.0908,0.052558,0.0142,0.0000,0.0109590
